ticket,fecha,cafeteria,producto,categoria,precio,cantidad,metodo_pago,turno,campus,satisfaccion,observaciones,empleado_captura
CF-00014,2026-03-26 14:30:00,Cafetería Anexo,Galletas,BEBIDA,60,1,TARJETA,TARDE,FES Aragón,,revisar,emp02
CF-00262,2026-04-23 10:30:00,CAFETERÍA ANEXO,agua ,Snack,18,1,Tarjeta,mañana ,FES ARAGON,Alta,producto agotado,emp02
CF-00035,,Cafetería Central, torta ,Bebida,45,2,vale , tarde , ciudad universitaria ,,producto agotado,temporal
CF-00499,2026-03-07 20:30:00,CAFETERÍA ANEXO, torta ,BEBIDA,18,1,vale ,noche ,FES Aragón,Baja ,,admin
CF-00356,2026-06-03 07:15:00,CAFETERIA CENTRAL,CAFÉ, snack ,45,3,efectivo , tarde ,FES ARAGON,MEDIA,revisar,temporal
CF-00493,2026-03-23 19:30:00,CAFETERIA CENTRAL,Café,Alimento,15,1,,Mañana, fes aragón ,Alta,producto agotado,temporal
CF-00240,2026-03-30 10:30:00,CAFETERÍA ANEXO,Ensalada, snack ,12,,TARJETA, tarde , ciudad universitaria ,Media,sin observación,emp02
CF-00475,2026-05-22 08:30:00,Cafetería Anexo,Ensalada,Snack,12,1,Tarjeta,Noche, ciudad universitaria ,alta ,sin observación,emp01
CF-00247,2026-05-26 13:45:00, cafeteria central ,,Snack,60,,efectivo ,noche ,CU,baja,sin observación,admin
CF-00673,2026-05-11 18:15:00,Cafetería Anexo, torta ,Snack,15,2,,Tarde,Ciudad Universitaria,alta ,revisar,admin
CF-00378,2026-04-23 17:45:00, cafeteria central ,Café,Snack,35,1,tarjeta,noche ,FES Aragón,alta ,promoción,temporal
CF-00119,,CAFETERÍA ANEXO,Torta,Alimento,18,1,Tarjeta,Noche,Ciudad Universitaria,baja,producto agotado,admin
CF-00476,2026-03-22 20:45:00,CAFETERÍA ANEXO,CAFÉ, snack ,12,,vale ,Tarde,Ciudad Universitaria,alta ,revisar,emp02
CF-00150,2026-03-19 08:15:00,cafeteria anexo,Ensalada,ALIMENTO,35,3,Tarjeta,Noche, ciudad universitaria ,baja,revisar,emp02
CF-00091,2026-03-28 11:30:00,Cafetería Central,Cafe, snack ,15,2,efectivo , tarde ,CU,Alta,sin observación,admin
CF-00616,,CAFETERÍA ANEXO,Cafe,ALIMENTO,45,4,Tarjeta,mañana ,FES Aragón,Baja ,revisar,emp01
CF-00549,2026-05-10 10:30:00,Cafetería Anexo,Galletas, snack ,25,,Efectivo, tarde , ciudad universitaria ,muy alta,,temporal
CF-00583,2026-03-03 12:00:00,Cafetería Central,Ensalada,BEBIDA,25,3,,Tarde,CU,alta ,producto agotado,admin
CF-00117,2026-03-29 11:15:00,Cafetería Central, torta , bebida ,18,4,TARJETA,Tarde, fes aragón ,Muy Alta,,emp01
CF-00345,2026-04-15 19:45:00,CAFETERIA CENTRAL,Agua,Alimento,12,1,, tarde ,Ciudad Universitaria,alta ,,emp01
CF-00093,2026-04-27 12:00:00, cafeteria central ,Cafe,Alimento,18,2,Efectivo,TARDE, ciudad universitaria ,Baja ,sin observación,emp02
CF-00160,2026-03-19 10:00:00,CAFETERÍA ANEXO,Agua, bebida ,12,,,MANANA,CU,Media,producto agotado,temporal
CF-00603,2026-03-30 11:45:00,Cafetería Central,ENSALADA,Alimento,60,,tarjeta,MANANA,FES ARAGON,muy alta,sin observación,emp02
CF-00192,2026-06-03 09:00:00,Cafetería Central,CAFÉ,Snack,20,2,,TARDE,FES ARAGON,Media,,temporal
CF-00563,2026-03-24 16:30:00,Cafetería Central,Ensalada,ALIMENTO,18,2,Vale, tarde ,FES ARAGON,Media,sin observación,emp01
CF-00521,2026-04-12 07:30:00,CAFETERÍA ANEXO,Torta,BEBIDA,35,4,Efectivo,noche ,Ciudad Universitaria,,revisar,emp02
CF-00609,2026-03-19 07:45:00,Cafetería Anexo, torta , snack ,,2,tarjeta,noche , fes aragón ,baja,sin observación,temporal
CF-00504,2026-06-09 18:00:00,Cafetería Anexo,,BEBIDA,45,4,,mañana ,FES Aragón,muy alta,sin observación,admin
CF-00524,2026-04-20 10:45:00,CAFETERIA CENTRAL,ENSALADA, bebida ,20,1,TARJETA,MANANA,Ciudad Universitaria,Media,producto agotado,emp01
CF-00122,2026-04-05 11:15:00,Cafetería Central,Galletas, snack ,45,3,,noche , ciudad universitaria ,Alta,producto agotado,admin
CF-00536,2026-03-28 14:45:00, cafeteria central ,Torta, snack ,12,1,TARJETA, tarde ,FES ARAGON,Muy Alta,sin observación,emp02
CF-00224,2026-05-21 14:00:00, cafeteria central ,Torta,Bebida,25,,tarjeta,noche , ciudad universitaria ,,sin observación,admin
CF-00371,2026-05-02 19:15:00,CAFETERÍA ANEXO,galletas,Alimento,45,1,,noche ,CU,Alta,revisar,emp01
CF-00026,2026-04-22 12:15:00,CAFETERÍA ANEXO,agua , snack ,60,2,efectivo , tarde , fes aragón ,alta ,producto agotado,temporal
CF-00072,2026-03-31 14:15:00,CAFETERÍA ANEXO, torta ,Alimento,35,4,vale ,Tarde,FES ARAGON,MEDIA,producto agotado,temporal
CF-00663,2026-05-10 10:30:00,CAFETERIA CENTRAL,Café, snack ,,2,tarjeta,mañana ,CU,muy alta,promoción,temporal
CF-00677,2026-05-28 16:00:00,Cafetería Anexo,Torta,Bebida,,4,vale ,Noche,FES Aragón,Muy Alta,promoción,temporal
CF-00427,2026-05-11 16:45:00,cafeteria anexo,agua ,BEBIDA,18,1,vale ,mañana ,FES ARAGON,Alta,promoción,emp01
CF-00674,2026-05-27 15:00:00,CAFETERÍA ANEXO,agua , bebida ,12,,,Noche,FES Aragón,Muy Alta,promoción,admin
CF-00384,2026-05-06 17:30:00,CAFETERÍA ANEXO,ENSALADA, snack ,15,1,efectivo ,MANANA,Ciudad Universitaria,Baja ,producto agotado,emp01
CF-00034,2026-05-18 14:45:00,CAFETERIA CENTRAL,CAFÉ, snack ,15,2,efectivo ,TARDE, ciudad universitaria ,muy alta,sin observación,admin
CF-00397,2026-05-16 14:00:00,CAFETERÍA ANEXO,Ensalada,BEBIDA,45,1,tarjeta,noche ,FES ARAGON,Alta,promoción,emp01
CF-00148,2026-05-17 07:15:00,CAFETERÍA ANEXO,ENSALADA,ALIMENTO,45,3,efectivo ,noche ,FES ARAGON,Muy Alta,producto agotado,admin
CF-00101,2026-04-17 17:00:00,CAFETERIA CENTRAL,Agua,ALIMENTO,35,2,,mañana , ciudad universitaria ,Media,promoción,admin
CF-00671,2026-06-08 09:45:00,CAFETERIA CENTRAL,CAFÉ,Snack,15,2,Vale, tarde , fes aragón ,Baja ,producto agotado,emp02
CF-00421,2026-05-06 07:30:00,CAFETERÍA ANEXO,CAFÉ,Alimento,60,3,efectivo ,Mañana,CU,Muy Alta,revisar,temporal
CF-00588,2026-03-24 17:45:00, cafeteria central ,Ensalada,Alimento,18,3,,mañana ,Ciudad Universitaria,alta ,revisar,temporal
CF-00424,2026-03-23 13:00:00,CAFETERIA CENTRAL,Ensalada, bebida ,60,3,tarjeta,noche ,FES ARAGON,Media,revisar,emp02
CF-00157,2026-06-03 19:00:00, cafeteria central ,Cafe, bebida ,45,,Tarjeta,Tarde, ciudad universitaria ,,revisar,admin
CF-00316,2026-03-21 20:45:00,Cafetería Anexo,ENSALADA,Alimento,45,2,tarjeta,Mañana, fes aragón ,Baja ,producto agotado,admin
CF-00032,2026-04-20 11:45:00,Cafetería Central,Galletas,Alimento,35,,TARJETA,mañana ,CU,MEDIA,revisar,emp01
CF-00372,2026-05-25 14:00:00,Cafetería Anexo,Torta, bebida ,35,3,efectivo , tarde ,FES ARAGON,MEDIA,revisar,emp01
CF-00615,2026-03-20 16:45:00,Cafetería Central,galletas,Bebida,15,4,TARJETA,Mañana, ciudad universitaria ,,promoción,emp01
CF-00273,2026-03-12 13:15:00,CAFETERÍA ANEXO,galletas, bebida ,12,,vale ,Tarde, fes aragón ,MEDIA,sin observación,emp01
CF-00281,2026-06-05 10:15:00,Cafetería Anexo,CAFÉ,Snack,18,2,tarjeta,noche ,Ciudad Universitaria,alta ,sin observación,emp02
CF-00489,2026-04-03 19:00:00, cafeteria central ,CAFÉ,ALIMENTO,45,3,Efectivo,noche ,FES Aragón,Baja ,producto agotado,emp01
CF-00004,2026-05-25 12:30:00, cafeteria central ,Torta,Bebida,15,1,tarjeta,Mañana,Ciudad Universitaria,Baja ,producto agotado,admin
CF-00529,2026-05-08 18:00:00,Cafetería Central,Ensalada,Alimento,60,2,efectivo ,mañana ,CU,muy alta,promoción,temporal
CF-00085,2026-04-13 14:45:00,Cafetería Central,agua , snack ,20,2,Vale,MANANA,FES ARAGON,,revisar,temporal
CF-00641,2026-04-27 08:30:00, cafeteria central ,Cafe,BEBIDA,20,1,Efectivo, tarde ,Ciudad Universitaria,,sin observación,temporal
CF-00302,2026-03-16 14:45:00,CAFETERÍA ANEXO,Cafe,Snack,,2,vale ,MANANA,FES ARAGON,Alta,,admin
CF-00561,2026-05-21 07:15:00, cafeteria central , torta , snack ,,3,TARJETA,TARDE,Ciudad Universitaria,MEDIA,revisar,temporal
CF-00442,2026-03-02 09:30:00,cafeteria anexo,Cafe,Alimento,18,4,Vale,Mañana,FES Aragón,Muy Alta,revisar,temporal
CF-00632,2026-03-15 16:30:00,CAFETERÍA ANEXO,Agua,Bebida,45,,tarjeta,mañana ,CU,alta ,producto agotado,admin
CF-00555,2026-05-14 18:45:00,Cafetería Central,agua ,Alimento,25,2,tarjeta, tarde ,FES Aragón,Media,revisar,temporal
CF-00591,2026-05-31 19:00:00,CAFETERIA CENTRAL,Agua,Alimento,20,2,efectivo ,mañana ,FES ARAGON,Baja ,sin observación,emp01
CF-00556,2026-05-21 12:00:00,CAFETERIA CENTRAL,galletas,Alimento,12,1,Vale,Noche,Ciudad Universitaria,muy alta,producto agotado,admin
CF-00164,2026-04-21 08:30:00,Cafetería Anexo,Café, bebida ,45,4,vale ,mañana , ciudad universitaria ,Media,sin observación,emp02
CF-00415,2026-04-03 16:15:00, cafeteria central ,ENSALADA, snack ,12,,TARJETA,Tarde,FES ARAGON,alta ,sin observación,temporal
CF-00313,2026-03-31 11:30:00,Cafetería Anexo,agua , snack ,,1,vale ,mañana ,CU,Media,promoción,emp01
CF-00553,2026-05-15 08:45:00,CAFETERIA CENTRAL,agua , snack ,18,3,vale ,Noche, fes aragón ,,,emp01
CF-00329,2026-04-07 13:15:00,Cafetería Anexo,Café, bebida ,35,4,vale ,noche , fes aragón ,muy alta,producto agotado,admin
CF-00284,2026-05-18 18:45:00,Cafetería Central,galletas, bebida ,,2,Vale, tarde ,FES ARAGON,alta ,,emp02
CF-00656,2026-04-01 09:45:00,Cafetería Central,ENSALADA,Alimento,18,3,efectivo ,TARDE, ciudad universitaria ,Baja ,,temporal
CF-00531,2026-04-17 10:30:00,CAFETERIA CENTRAL,galletas,Snack,,1,Efectivo,TARDE,Ciudad Universitaria,muy alta,promoción,emp01
CF-00574,,Cafetería Central,Torta, bebida ,12,1,Vale,mañana ,FES ARAGON,muy alta,producto agotado,emp01
CF-00308,2026-04-21 18:30:00,cafeteria anexo,Torta,ALIMENTO,15,3,tarjeta,Noche, ciudad universitaria ,,,emp01
CF-00011,2026-06-05 15:15:00,CAFETERÍA ANEXO,agua ,BEBIDA,45,2,vale ,Tarde, fes aragón ,Muy Alta,sin observación,emp02
CF-00434,2026-05-20 12:15:00, cafeteria central ,Agua, bebida ,15,1,Efectivo,Noche,Ciudad Universitaria,Muy Alta,promoción,temporal
CF-00212,2026-04-04 07:45:00,CAFETERÍA ANEXO,Galletas,BEBIDA,12,1,efectivo ,mañana ,CU,muy alta,revisar,temporal
CF-00279,,cafeteria anexo,Cafe,ALIMENTO,45,,vale ,Tarde,FES ARAGON,MEDIA,producto agotado,emp01
CF-00158,2026-04-17 18:15:00,Cafetería Central,Galletas,Snack,12,2,,Tarde,FES Aragón,MEDIA,,emp01
CF-00503,2026-04-27 08:15:00, cafeteria central ,agua , snack ,45,4,tarjeta,Tarde,Ciudad Universitaria,Media,,emp01
CF-00187,2026-04-13 08:15:00,CAFETERÍA ANEXO,CAFÉ,BEBIDA,25,3,Vale,Noche, ciudad universitaria ,Alta,sin observación,admin
CF-00325,2026-04-18 19:00:00,Cafetería Central,agua ,ALIMENTO,15,1,TARJETA,TARDE,CU,,,temporal
CF-00144,2026-04-07 13:15:00,CAFETERIA CENTRAL,Ensalada,BEBIDA,,,Vale,noche ,Ciudad Universitaria,baja,producto agotado,temporal
CF-00074,2026-05-15 16:30:00,Cafetería Anexo,ENSALADA,Alimento,15,1,Vale, tarde , ciudad universitaria ,Media,promoción,emp01
CF-00720,2026-04-05 17:30:00,Cafetería Central,agua ,ALIMENTO,35,,TARJETA,TARDE, fes aragón ,Muy Alta,producto agotado,admin
CF-00565,2026-04-27 14:30:00,Cafetería Central,Ensalada,Bebida,35,2,vale ,mañana ,CU,muy alta,sin observación,admin
CF-00155,2026-05-08 15:45:00,CAFETERIA CENTRAL,galletas,Bebida,35,,,Tarde,FES ARAGON,MEDIA,promoción,admin
CF-00605,2026-04-01 12:15:00,CAFETERÍA ANEXO,CAFÉ,Snack,20,1,tarjeta,mañana ,Ciudad Universitaria,muy alta,producto agotado,emp02
CF-00580,2026-05-04 16:30:00,CAFETERÍA ANEXO,Agua,Alimento,20,2,vale ,MANANA, fes aragón ,,producto agotado,emp02
CF-00341,2026-04-28 12:00:00,Cafetería Anexo,Café, bebida ,,1,vale ,TARDE,CU,Baja ,revisar,emp02
CF-00018,2026-06-05 07:15:00,cafeteria anexo,Café,BEBIDA,,,tarjeta,MANANA,FES Aragón,,promoción,temporal
CF-00522,2026-04-11 10:15:00,CAFETERÍA ANEXO,Café, snack ,45,2,Efectivo,MANANA,FES ARAGON,Media,sin observación,temporal
CF-00145,2026-03-15 14:45:00, cafeteria central ,agua ,ALIMENTO,12,1,efectivo ,noche ,Ciudad Universitaria,Baja ,revisar,temporal
CF-00474,2026-05-03 09:45:00,CAFETERIA CENTRAL, torta , bebida ,20,1,,noche ,Ciudad Universitaria,MEDIA,,admin
CF-00439,2026-03-05 07:30:00,cafeteria anexo,Ensalada,Alimento,12,4,vale ,Tarde,FES Aragón,Muy Alta,,admin
CF-00235,2026-04-26 12:00:00,Cafetería Anexo,agua , bebida ,,1,efectivo ,noche ,FES Aragón,Media,revisar,temporal
CF-00327,,CAFETERÍA ANEXO,Ensalada, snack ,25,2,,TARDE,FES ARAGON,alta ,revisar,admin
CF-00268,2026-03-09 16:00:00, cafeteria central ,Cafe, snack ,12,3,efectivo ,MANANA,Ciudad Universitaria,muy alta,sin observación,temporal
CF-00123,2026-05-15 10:15:00,CAFETERIA CENTRAL,ENSALADA,Bebida,,1,Tarjeta,TARDE, fes aragón ,,promoción,emp01
CF-00450,2026-03-16 18:15:00,cafeteria anexo,galletas, snack ,,1,tarjeta,noche , ciudad universitaria ,alta ,revisar,emp02
CF-00496,2026-04-09 08:30:00, cafeteria central ,Torta,ALIMENTO,25,,Tarjeta,noche , fes aragón ,MEDIA,,emp01
CF-00516,2026-03-05 18:30:00,cafeteria anexo,Agua, snack ,25,1,Tarjeta, tarde ,FES ARAGON,Baja ,promoción,emp01
CF-00433,2026-03-23 11:00:00,CAFETERIA CENTRAL,Ensalada,Bebida,,3,Efectivo,MANANA,Ciudad Universitaria,muy alta,,temporal
CF-00600,2026-06-06 11:45:00, cafeteria central ,agua ,Snack,12,1,efectivo ,Mañana, fes aragón ,Media,revisar,emp02
CF-00456,2026-03-22 08:15:00,CAFETERIA CENTRAL,Agua,Snack,,2,Tarjeta,Tarde,FES ARAGON,baja,promoción,temporal
CF-00453,2026-05-30 10:00:00,cafeteria anexo,Agua,BEBIDA,,2,Efectivo,MANANA,CU,Baja ,revisar,admin
CF-00374,2026-06-02 15:00:00, cafeteria central ,Galletas,Snack,60,2,,MANANA, ciudad universitaria ,Media,,admin
CF-00716,,cafeteria anexo,galletas,Alimento,18,1,,mañana ,CU,Baja ,promoción,emp01
CF-00007,2026-03-01 09:00:00,cafeteria anexo,Café,Alimento,12,2,Vale,Tarde, fes aragón ,Media,producto agotado,temporal
CF-00307,2026-04-21 07:00:00,cafeteria anexo, torta , snack ,60,1,efectivo ,Mañana, fes aragón ,baja,sin observación,admin
CF-00295,2026-05-20 08:15:00,CAFETERÍA ANEXO,Galletas,ALIMENTO,,2,tarjeta,Mañana, fes aragón ,Media,sin observación,emp02
CF-00482,2026-05-15 09:15:00, cafeteria central ,Galletas, snack ,,2,Tarjeta, tarde ,Ciudad Universitaria,MEDIA,revisar,emp01
CF-00258,2026-05-09 14:15:00,CAFETERIA CENTRAL,Agua, snack ,45,2,vale ,Tarde,FES ARAGON,,promoción,emp02
CF-00412,2026-03-26 08:30:00,Cafetería Central, torta , bebida ,15,2,TARJETA, tarde ,FES ARAGON,alta ,,temporal
CF-00285,2026-03-18 07:30:00, cafeteria central ,CAFÉ,Snack,,2,,TARDE,CU,alta ,sin observación,temporal
CF-00182,2026-05-08 10:15:00, cafeteria central ,agua ,Bebida,45,,Efectivo,mañana , fes aragón ,Media,,temporal
CF-00640,2026-05-30 14:15:00,CAFETERÍA ANEXO, torta , bebida ,45,1,TARJETA, tarde , ciudad universitaria ,,sin observación,admin
CF-00321,2026-03-03 07:30:00, cafeteria central ,Cafe,Bebida,45,2,vale ,Noche,Ciudad Universitaria,baja,,temporal
CF-00368,2026-05-14 15:30:00,Cafetería Central,Torta,Bebida,60,4,vale ,MANANA,FES ARAGON,Muy Alta,producto agotado,emp02
CF-00666,,CAFETERÍA ANEXO,Galletas,Alimento,20,3,Efectivo,Noche, fes aragón ,,producto agotado,emp02
CF-00180,2026-05-17 17:30:00,cafeteria anexo,Cafe,BEBIDA,12,,Efectivo, tarde , ciudad universitaria ,Muy Alta,producto agotado,emp02
CF-00221,2026-04-07 15:45:00,Cafetería Anexo,Cafe, snack ,60,1,TARJETA,MANANA,CU,MEDIA,producto agotado,temporal
CF-00659,2026-06-01 19:30:00,Cafetería Anexo,ENSALADA, bebida ,15,1,efectivo , tarde ,CU,baja,promoción,admin
CF-00188,2026-04-19 15:30:00,CAFETERÍA ANEXO,Galletas, bebida ,18,2,Vale,noche , fes aragón ,alta ,revisar,emp02
CF-00403,2026-03-15 15:15:00,CAFETERIA CENTRAL,CAFÉ,Bebida,20,1,TARJETA,TARDE,CU,muy alta,promoción,admin
CF-00231,2026-04-12 17:15:00,CAFETERIA CENTRAL,CAFÉ, snack ,18,4,Vale,mañana ,FES ARAGON,MEDIA,producto agotado,temporal
CF-00451,2026-03-24 13:00:00,CAFETERIA CENTRAL,Café,ALIMENTO,45,,efectivo ,MANANA, fes aragón ,MEDIA,producto agotado,emp01
CF-00189,2026-04-05 08:00:00,Cafetería Central,Galletas,Snack,35,1,vale ,mañana , fes aragón ,Alta,,temporal
CF-00036,2026-04-17 08:00:00,CAFETERÍA ANEXO,CAFÉ,Bebida,18,4,efectivo ,Mañana,FES ARAGON,Baja ,,admin
CF-00038,2026-06-01 14:00:00, cafeteria central ,CAFÉ,ALIMENTO,15,,vale ,noche , ciudad universitaria ,alta ,revisar,emp01
CF-00367,2026-04-26 20:45:00,Cafetería Anexo,Café,Snack,45,1,,noche , ciudad universitaria ,muy alta,promoción,temporal
CF-00661,2026-05-28 09:45:00,cafeteria anexo,Galletas, bebida ,15,4,tarjeta,Mañana,FES ARAGON,Media,sin observación,admin
CF-00270,2026-05-05 08:30:00,CAFETERIA CENTRAL, torta ,BEBIDA,35,1,TARJETA,TARDE,CU,Media,promoción,emp02
CF-00344,2026-04-29 14:30:00,CAFETERÍA ANEXO,Galletas, snack ,,2,,MANANA,Ciudad Universitaria,,revisar,emp02
CF-00560,2026-04-13 18:45:00,Cafetería Central,Agua,Bebida,60,1,Efectivo,Mañana, fes aragón ,MEDIA,sin observación,emp01
CF-00165,2026-05-06 15:15:00,CAFETERÍA ANEXO,Café,BEBIDA,25,,Tarjeta,noche ,FES Aragón,alta ,promoción,emp02
CF-00176,2026-04-06 20:45:00,CAFETERIA CENTRAL,Ensalada,ALIMENTO,20,4,tarjeta,MANANA, ciudad universitaria ,Media,producto agotado,emp02
CF-00572,2026-03-21 18:45:00,CAFETERÍA ANEXO, torta ,Alimento,15,1,efectivo ,Noche,Ciudad Universitaria,Muy Alta,revisar,admin
CF-00712,2026-06-09 07:30:00,cafeteria anexo,Cafe, snack ,15,1,efectivo ,mañana , ciudad universitaria ,,sin observación,emp02
CF-00548,2026-03-02 12:00:00, cafeteria central ,CAFÉ,Snack,25,1,Tarjeta,MANANA,FES ARAGON,,producto agotado,emp01
CF-00445,2026-04-28 11:00:00,cafeteria anexo,agua ,Alimento,15,4,TARJETA,Noche,FES Aragón,baja,revisar,admin
CF-00347,2026-05-26 20:30:00,Cafetería Central,CAFÉ,ALIMENTO,15,1,Efectivo,Noche, ciudad universitaria ,,,admin
CF-00576,2026-04-28 16:00:00,cafeteria anexo,Café, snack ,20,1,TARJETA,Noche,Ciudad Universitaria,alta ,producto agotado,temporal
CF-00463,2026-04-23 20:45:00,Cafetería Central,Torta,ALIMENTO,25,2,vale ,Noche, fes aragón ,MEDIA,,temporal
CF-00023,2026-05-22 13:15:00,Cafetería Anexo,CAFÉ,Bebida,25,4,,TARDE,FES Aragón,Baja ,,temporal
CF-00152,2026-04-01 11:00:00,Cafetería Central,Galletas,Alimento,45,4,tarjeta,TARDE,FES Aragón,Media,promoción,admin
CF-00215,2026-04-24 07:45:00,Cafetería Anexo,Cafe, snack ,45,1,TARJETA,TARDE,FES ARAGON,MEDIA,revisar,admin
CF-00491,2026-04-14 17:00:00,Cafetería Anexo,CAFÉ, snack ,25,,TARJETA,Noche,CU,,promoción,emp01
CF-00404,2026-06-06 20:00:00,Cafetería Central,Ensalada, snack ,15,1,Vale,Tarde, ciudad universitaria ,Media,promoción,temporal
CF-00033,2026-03-18 19:30:00,Cafetería Central,galletas, snack ,60,1,TARJETA,Tarde,FES Aragón,,revisar,emp02
CF-00095,2026-03-20 17:15:00,CAFETERIA CENTRAL,Torta, snack ,,1,vale ,mañana ,FES Aragón,Muy Alta,sin observación,admin
CF-00502,2026-04-26 10:45:00,CAFETERÍA ANEXO,CAFÉ,ALIMENTO,60,1,efectivo ,noche ,FES ARAGON,Baja ,,admin
CF-00197,2026-05-23 08:30:00, cafeteria central , torta ,Alimento,15,2,Efectivo,mañana , ciudad universitaria ,,revisar,emp01
CF-00021,2026-05-23 12:15:00,CAFETERÍA ANEXO,Agua,ALIMENTO,15,1,TARJETA,mañana ,FES Aragón,Muy Alta,promoción,temporal
CF-00185,2026-03-11 08:30:00,CAFETERIA CENTRAL,Ensalada,Bebida,35,4,Vale,mañana ,Ciudad Universitaria,Muy Alta,producto agotado,admin
CF-00291,2026-03-04 18:45:00,cafeteria anexo,Galletas, snack ,15,1,,MANANA, fes aragón ,,promoción,emp01
CF-00352,2026-05-04 17:00:00, cafeteria central ,agua ,Alimento,35,1,efectivo ,Noche,FES Aragón,MEDIA,,admin
CF-00699,2026-04-30 15:00:00,CAFETERÍA ANEXO, torta ,Bebida,45,,Efectivo,Noche, ciudad universitaria ,Muy Alta,promoción,temporal
CF-00062,2026-03-27 20:30:00,CAFETERIA CENTRAL,CAFÉ,Bebida,45,1,efectivo ,Mañana,CU,,promoción,emp01
CF-00718,2026-04-12 16:30:00,Cafetería Central, torta ,ALIMENTO,45,1,Efectivo,mañana , fes aragón ,baja,producto agotado,emp01
CF-00399,2026-06-04 15:00:00, cafeteria central , torta ,Alimento,,1,tarjeta,Tarde,CU,Muy Alta,revisar,admin
CF-00626,2026-03-02 13:30:00,CAFETERIA CENTRAL,Ensalada, snack ,60,4,,noche ,Ciudad Universitaria,Alta,promoción,emp02
CF-00051,2026-04-25 17:45:00,Cafetería Anexo,ENSALADA,BEBIDA,60,1,,Mañana,FES ARAGON,alta ,promoción,emp01
CF-00330,2026-03-07 13:30:00,CAFETERIA CENTRAL,CAFÉ, snack ,60,3,,MANANA, ciudad universitaria ,MEDIA,sin observación,admin
CF-00407,2026-06-04 17:15:00,Cafetería Anexo,agua ,ALIMENTO,,3,Vale,mañana , ciudad universitaria ,muy alta,sin observación,temporal
CF-00573,2026-03-09 08:45:00,CAFETERÍA ANEXO,CAFÉ,BEBIDA,35,2,Efectivo,TARDE, fes aragón ,MEDIA,sin observación,admin
CF-00073,2026-03-24 14:15:00,cafeteria anexo,galletas, bebida ,15,2,Vale,MANANA,FES Aragón,Alta,sin observación,temporal
CF-00245,2026-04-14 07:30:00,CAFETERÍA ANEXO,galletas, snack ,45,2,,noche ,FES ARAGON,,producto agotado,emp01
CF-00654,2026-05-12 20:00:00,Cafetería Central,galletas,Bebida,60,1,Vale,Mañana, ciudad universitaria ,MEDIA,,emp02
CF-00288,2026-04-27 14:30:00,CAFETERÍA ANEXO,CAFÉ,Alimento,,3,Efectivo, tarde ,FES Aragón,,promoción,temporal
CF-00477,2026-05-12 18:00:00,Cafetería Central,Galletas,Bebida,,1,tarjeta,TARDE,FES Aragón,Media,sin observación,emp02
CF-00617,2026-06-07 10:45:00,CAFETERÍA ANEXO,Cafe, snack ,15,4,tarjeta,Mañana,FES ARAGON,,producto agotado,temporal
CF-00509,2026-04-20 13:15:00,Cafetería Central,Agua,Alimento,12,1,Vale,TARDE, fes aragón ,Alta,sin observación,admin
CF-00336,2026-04-22 07:45:00,Cafetería Anexo,Torta,Snack,35,2,Tarjeta,Tarde,FES ARAGON,Muy Alta,revisar,emp01
CF-00589,2026-06-09 15:30:00, cafeteria central ,CAFÉ,Alimento,,4,TARJETA,mañana ,CU,Muy Alta,revisar,temporal
CF-00357,2026-05-04 08:00:00,CAFETERIA CENTRAL,Cafe,ALIMENTO,,3,efectivo ,Noche,FES Aragón,Media,revisar,temporal
CF-00057,2026-05-09 19:30:00, cafeteria central ,Café, bebida ,20,1,Tarjeta,MANANA, ciudad universitaria ,Baja ,producto agotado,emp01
CF-00416,2026-03-16 16:00:00,Cafetería Anexo,CAFÉ,ALIMENTO,20,3,vale ,Tarde, ciudad universitaria ,baja,,admin
CF-00300,2026-04-05 20:30:00,Cafetería Central,Cafe,Bebida,,2,Tarjeta,Noche,FES ARAGON,Muy Alta,producto agotado,temporal
CF-00532,2026-03-15 13:30:00,Cafetería Central,Agua,BEBIDA,12,1,Tarjeta,MANANA,Ciudad Universitaria,muy alta,,emp01
CF-00478,2026-06-06 11:30:00,cafeteria anexo,CAFÉ,Snack,18,4,Vale,noche , ciudad universitaria ,Muy Alta,promoción,emp01
CF-00127,2026-03-08 20:00:00,CAFETERIA CENTRAL,Torta, snack ,,,Efectivo,mañana ,CU,Muy Alta,,temporal
CF-00469,2026-04-24 19:00:00, cafeteria central ,Agua, snack ,20,1,,Tarde,CU,,,temporal
CF-00070,2026-04-16 19:45:00,cafeteria anexo,Café,BEBIDA,12,1,Tarjeta,Mañana, ciudad universitaria ,Muy Alta,revisar,emp02
CF-00386,2026-05-07 10:00:00,cafeteria anexo,Agua,BEBIDA,45,2,Tarjeta,mañana ,CU,MEDIA,promoción,emp02
CF-00010,2026-05-24 08:45:00,CAFETERIA CENTRAL,ENSALADA, bebida ,,,Efectivo,noche ,Ciudad Universitaria,Alta,revisar,admin
CF-00225,2026-03-01 10:15:00,Cafetería Anexo,Cafe, bebida ,25,1,,MANANA,FES Aragón,Baja ,sin observación,emp02
CF-00575,2026-03-03 15:30:00, cafeteria central ,galletas, snack ,12,4,,noche ,CU,Baja ,revisar,temporal
CF-00485,2026-05-06 11:30:00,Cafetería Central,ENSALADA,Alimento,25,1,Efectivo,Tarde,Ciudad Universitaria,Muy Alta,promoción,emp01
CF-00099,2026-05-21 08:30:00,cafeteria anexo,Cafe,BEBIDA,60,2,,TARDE,FES ARAGON,Muy Alta,revisar,admin
