nrow,id,dia,aerolinea,destino,region,dest_size,area_abordaje,fecha_salida,espera_min,limpieza,seguridad,satisfaccion
622,1286,martes,UNITED INTL,LONDON HEATHROW,Europa,Hub,Gates 91-102,2018-12-31,120.0,Limpio,Muy seguro,Muy satisfecho
623,3042,martes,UNITED,PORTLAND,oeste de EE. UU.,Medium,Gates 70-90,2018-12-31,150.0,Limpio,Muy seguro,Muy satisfecho
625,336,viernes,ALASKA,SAN DIEGO,oeste de EE. UU.,Medium,Gates 50-59,2018-12-31,96.0,Limpio,Muy seguro,Algo satisfecho
627,2426,martes,UNITED,HONOLULU,West US,Medium,Gates 70-90,2018-12-31,85.0,Algo limpio,Algo seguro,Algo satisfecho
629,3225,miércoles,AMERICAN,PHOENIX,oeste de EE. UU.,  Hub ,Gates 50-59,2018-12-31,214.0,Algo limpio,Algo seguro,Neutral
630,1598,miércoles,SINGAPORE AIRLINES,SINGAPUR,Asia,Hub,Gates 91-102,2018-12-31,150.0,Limpio,Muy seguro,Algo satisfecho
631,2552,sábado,JETBLUE,LONG BEACH,oeste de EE. UU.,Small,Gates 1-12,2018-12-31,62.99999999999989,Algo limpio,Neutral,Algo satisfecho
632,2802,martes,SUDOESTE,PHOENIX,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,120.0,Limpio,Muy seguro,Algo satisfecho
633,3128,martes,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,2018-12-31,74.9999999999999,Limpio,Muy seguro,Muy satisfecho
634,945,viernes,AIR CANADA,TORONTO,Canadá / México,Hub,Gates 91-102,2018-12-31,90.0,Algo limpio,Algo seguro,Algo satisfecho
635,2564,sábado,JETBLUE,LONG BEACH,oeste de EE. UU.,Small,Gates 1-12,2018-12-31,93.0,Algo limpio,Algo seguro,Algo satisfecho
636,1707,domingo,AIR FRANCE / KLM,PARIS-DE GAULLE,Europa,Hub,Gates 1-12,2018-12-31,210.0,Promedio,Muy seguro,Algo satisfecho
637,2873,viernes,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,2018-12-31,180.0,Promedio,Muy seguro,Algo satisfecho
638,2540,sábado,JETBLUE,LONG BEACH,oeste de EE. UU.,Small,Gates 1-12,2018-12-31,62.99999999999989,Algo limpio,Muy seguro,Algo satisfecho
639,462,domingo,ALASKA,LAS VEGAS,oeste de EE. UU.,  Hub ,Gates 50-59,2018-12-31,90.0,Limpio,Muy seguro,Algo satisfecho
640,1873,martes,UNITED,BOSTON,Este de EE. UU.,Grande,Gates 70-90,2018-12-31,205.0,Algo limpio,Muy seguro,Algo satisfecho
641,1016,viernes,AIR CANADA,VANCOUVER,Canadá / México,Medium,Gates 91-102,2018-12-31,155.0,Algo limpio,Algo seguro,Algo satisfecho
642,370,viernes,ALASKA,SAN JOSE DEL CABO,Canadá / México,Small,Gates 50-59,2018-12-31,195.0,Algo limpio,Algo seguro,Algo satisfecho
643,2151,jueves,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,155.0,Limpio,Muy seguro,Muy satisfecho
644,1872,Domingo,ALASKA,KAHULUI,Oeste de EE. UU.,Small,Gates 50-59,2018-12-31,295.0,Algo limpio,Muy seguro,Algo satisfecho
645,1576,miércoles,DELTA,DETROIT,Medio Oeste de EE. UU.,Grande,Gates 40-48,2018-12-31,125.0,Algo limpio,Muy seguro,Neutral
646,2541,martes,JETBLUE,LONG BEACH,oeste de EE. UU.,Small,Gates 1-12,2018-12-31,120.0,Algo limpio,Muy seguro,Algo satisfecho
647,1301,jueves,JETBLUE,NUEVA YORK-JFK,este de EE. UU.,Hub,Gates 1-12,2018-12-31,156.0,Algo limpio,Algo seguro,Muy satisfecho
648,3040,martes,AMERICAN,DALLAS-FT. WORTH,Medio Oeste de EE. UU.,Hub,Gates 50-59,2018-12-31,155.0,Algo limpio,Muy seguro,Algo satisfecho
649,1360,martes,UNITED INTL,PARIS-DE GAULLE,eur,Hub,Gates 91-102,2018-12-31,225.0,Promedio,Algo seguro,Algo satisfecho
650,2469,viernes,UNITED,DENVER,Oeste de EE. UU.,Hub,Gates 70-90,2018-12-31,121.0,Promedio,Muy seguro,Algo insatisfecho
651,543,jueves,EMIRATES,DUBAI,Medio Oriente,Hub,Gates 1-12,2018-12-31,165.0,Algo limpio,Muy seguro,Algo satisfecho
652,2925,viernes,TURKISH AIRLINES,ESTAMBUL,Medio Oriente,Hub,Gates 91-102,2018-12-31,250.0,Limpio,Muy seguro,Algo satisfecho
653,2685,viernes,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,100.0,Algo limpio,Muy seguro,Algo satisfecho
654,2268,miércoles,UNITED,LOS ÁNGELES,oeste de EE. UU.,  Hub ,Gates 60-69,2018-12-31,155.0,Algo limpio,Algo seguro,Algo satisfecho
656,2041,viernes,BRITISH AIRWAYS,LONDON HEATHROW,eur,Hub,Gates 1-12,2018-12-31,180.0,Promedio,Algo seguro,Algo insatisfecho
657,2167,miércoles,FRONTIER,DENVER,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,333.0,Limpio,Muy seguro,Muy satisfecho
658,3088,martes,UNITED,SPOKANE,West US,   Small,Gates 70-90,2018-12-31,97.0000000000001,Limpio,Muy seguro,Algo satisfecho
659,2948,martes,SUDOESTE,SAN DIEGO,oeste de EE. UU.,Medium,Gates 20-39,2018-12-31,135.0,Limpio,Muy seguro,Algo satisfecho
642,370,viernes,ALASKA,SAN JOSE DEL CABO,Canadá / México,Small,Gates 50-59,2018-12-31,195.0,Algo limpio,Algo seguro,Algo satisfecho
660,443,domingo,UNITED,INDIANAPOLIS,Medio Oeste de EE. UU.,Medium,Gates 60-69,2018-12-31,113.0,Limpio,Algo seguro,Algo satisfecho
661,278,jueves,UNITED,BALTIMORE,EAST US,Medium,Gates 70-90,2018-12-31,134.0,Algo limpio,Algo seguro,Neutral
662,2457,viernes,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,154.0,Limpio,Muy seguro,Neutral
663,1526,miércoles,JETBLUE,NUEVA YORK-JFK,este de EE. UU.,Hub,Gates 1-12,2018-12-31,101.0,Algo limpio,Algo seguro,Neutral
664,2689,miércoles,AIR FRANCE / KLM,PARIS-DE GAULLE,eur,Hub,Gates 1-12,2018-12-31,150.0,Algo limpio,Muy seguro,Neutral
665,3055,domingo,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,2018-01-01,335.0,Medio,Algo seguro,Algo satisfecho
666,2136,jueves,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,380.0,Limpio,Neutral,Neutral
667,1450,miércoles,UNITED,LAS VEGAS,West US,Hub,Gates 60-69,2018-12-31,82.0,Limpio,Muy seguro,Muy satisfecho
668,2415,miércoles,AIR NEW ZEALAND,AUCKLAND,Australia / Nueva Zelanda,Medium,Gates 91-102,2018-12-31,190.0,Limpio,Algo seguro,Algo satisfecho
669,729,jueves,AIR FRANCE / KLM,PARIS-DE GAULLE,Europa,Hub,Gates 1-12,2018-12-31,245.0,Algo limpio,Algo seguro,Neutral
670,2232,jueves,SUDOESTE,SANTA ANA,oeste de EE. UU.,Medium,Gates 20-39,2018-12-31,60.0,Algo limpio,Muy seguro,Algo satisfecho
671,1452,miércoles,UNITED,LAS VEGAS,West US,Hub,Gates 60-69,2018-12-31,82.0,Limpio,Muy seguro,Muy satisfecho
672,1705,domingo,AIR FRANCE / KLM,PARIS-DE GAULLE,Europa,Hub,Gates 1-12,2018-12-31,225.0,Algo limpio,Algo seguro,Algo satisfecho
673,1543,miércoles,AIR CHINA,BEIJING,Asia,Hub,Gates 91-102,2018-12-31,170.0,Promedio,Muy seguro,Neutral
674,618,martes,ALASKA,WASHINGTON DC-DULLES,ESTE DE EE. UU.,Medium,Gates 50-59,2018-12-31,155.0,Limpio,Muy seguro,Algo satisfecho
675,1726,lunes,AIR CANADA,TORONTO,Canadá / México,Hub,Gates 91-102,2018-12-31,105.0,Limpio,Muy seguro,Algo satisfecho
676,2209,jueves,SUDOESTE,LAS VEGAS,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,135.0,Algo limpio,Algo seguro,Neutral
677,1786,sábado,UNITED,RALEIGH-DURHAM,Este de EE. UU.,Medium,Gates 70-90,2018-12-31,135.0,Algo limpio,Muy seguro,Algo satisfecho
678,2625,martes,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,120.0,Algo limpio,Muy seguro,Algo satisfecho
679,1760,Lunes,LUFTHANSA,MUNICH,Europa,Hub,Gates 91-102,2018-12-31,145.0,Promedio,Algo seguro,Algo satisfecho
680,2732,miércoles,AIR FRANCE / KLM,PARIS-DE GAULLE,eur,Hub,Gates 1-12,2018-12-31,270.0,Algo limpio,Algo seguro,Neutral
681,711,jueves,AIR FRANCE / KLM,PARIS-DE GAULLE,Europa,Hub,Gates 1-12,2018-12-31,185.0,Algo limpio,Algo seguro,Neutral
682,943,jueves,AIR CANADA,VANCOUVER,Canadá / México,Medium,Gates 91-102,2018-12-31,135.0,Algo limpio,Muy seguro,Algo satisfecho
684,1910,sábado,AIR FRANCE / KLM,PARIS-DE GAULLE,Europa,Hub,Gates 1-12,2018-12-31,140.0,Algo limpio,Neutral,Muy satisfecho
685,2027,miércoles,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,150.0,Promedio,Muy seguro,Algo satisfecho
688,365,viernes,ALASKA,SAN JOSE DEL CABO,Canadá / México,Small,Gates 50-59,2018-12-31,105.0,Algo limpio,Algo seguro,Algo satisfecho
689,3005,jueves,UNITED,NASHVILLE,Medio Oeste de EE. UU.,Medium,Gates 70-90,2018-12-31,100.0,Promedio,Algo seguro,Algo satisfecho
690,1502,miércoles,HAWAIIAN AIR,HONOLULU,Oeste de EE. UU.,Medium,Gates 1-12,2018-12-31,150.0,Promedio,Algo seguro,Algo satisfecho
691,2621,sábado,AEROMEXICO,CIUDAD DE MÉXICO,Canadá / México,Hub,Gates 1-12,2018-12-31,125.0,Limpio,Muy seguro,Muy satisfecho
692,1639,sábado,VIRGIN ATLANTIC,LONDON HEATHROW,Europa,Hub,Gates 1-12,2018-12-31,170.0,Limpio,Muy seguro,Algo satisfecho
693,2733,jueves,DELTA,LOS ÁNGELES,oeste de EE. UU.,  Hub ,Gates 40-48,2018-12-31,160.0,Limpio,Algo seguro,Neutral
694,2021,viernes,BRITISH AIRWAYS,LONDON HEATHROW,eur,Hub,Gates 1-12,2018-12-31,160.0,Promedio,Neutral,Neutral
695,629,martes,ALASKA,WASHINGTON DC-DULLES,este de EE. UU.,Medium,Gates 50-59,2018-12-31,140.0,Algo limpio,Muy seguro,Algo satisfecho
696,3026,martes,UNITED,PORTLAND,oeste de EE. UU.,Medium,Gates 70-90,2018-12-31,120.0,Limpio,Muy seguro,Muy satisfecho
697,1671,sábado,EMIRATES,DUBAI,Medio Oriente,Hub,Gates 1-12,2018-12-31,125.0,Algo limpio,Algo seguro,Muy satisfecho
698,3248,miércoles,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,2018-12-31,74.9999999999999,Limpio,Muy seguro,Muy satisfecho
699,684,miércoles,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,230.0,Algo limpio,Muy seguro,Algo satisfecho
699,684,jueves,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,230.0,Algo limpio,Muy seguro,Algo satisfecho
701,1905,Lunes,LUFTHANSA,MUNICH,Europa,Hub,Gates 91-102,2018-12-31,128.0,Algo limpio,Neutral,Algo satisfecho
703,774,miércoles,AMERICAN,LOS ANGELES,oeste de EE. UU.,  Hub ,Gates 50-59,2018-12-31,220.0,Algo limpio,Muy seguro,Neutral
704,2917,jueves,DELTA,SEATTLE,oeste de EE. UU.,  Hub ,Gates 40-48,2018-12-31,14.9999999999999,Limpio,Muy seguro,Muy satisfecho
705,1459,sábado,UNITED,PORTLAND,oeste de EE. UU.,Medium,Gates 70-90,2018-12-31,84.9999999999999,Limpio,Neutral,Muy satisfecho
706,1178,martes,SUDOESTE,LAS VEGAS,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,115.0,Algo limpio,Muy seguro,Algo satisfecho
707,2691,viernes,UNITED,ORLANDO,Este de EE. UU.,Hub,Gates 70-90,2018-12-31,367.0,Promedio,Neutral,Neutral
708,857,martes,ALASKA,PORTLAND,oeste de EE. UU.,Medium,Gates 50-59,2018-12-31,154.0,Limpio,Algo seguro,Algo satisfecho
709,3148,martes,UNITED,SAN DIEGO,oeste de EE. UU.,Medium,Gates 60-69,2018-12-31,59.99999999999989,Algo limpio,Algo seguro,Algo satisfecho
710,1519,miércoles,DELTA,LOS ÁNGELES,oeste de EE. UU.,  Hub ,Gates 40-48,2018-12-31,115.0,Algo limpio,Muy seguro,Algo satisfecho
711,1126,jueves,DELTA,MINNEAPOLIS-ST. PAUL,Medio Oeste de EE. UU.,Hub,Gates 40-48,2018-12-31,105.0,Promedio,Muy seguro,Algo satisfecho
712,3269,martes,UNITED,LAS VEGAS,West US,Hub,Gates 70-90,2018-12-31,85.0000000000002,Promedio,Algo seguro,Neutral
714,1960,viernes,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,165.0,Algo limpio,Neutral,Neutral
715,2545,sábado,JETBLUE,LONG BEACH,oeste de EE. UU.,Small,Gates 1-12,2018-12-31,83.0,Algo limpio,Muy seguro,Neutral
718,2582,martes,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,90.0,Algo limpio,Algo seguro,Neutral
719,358,viernes,ALASKA,NEWARK,este de EE. UU.,Hub,Gates 50-59,2018-12-31,80.0,Algo limpio,Algo seguro,Neutral
720,2912,jueves,DELTA,SEATTLE,oeste de EE. UU.,  Hub ,Gates 40-48,2018-12-31,59.99999999999989,Algo limpio,Algo seguro,Algo satisfecho
721,2030,viernes,BRITISH AIRWAYS,LONDON HEATHROW,eur,Hub,Gates 1-12,2018-12-31,150.0,Algo limpio,Algo seguro,Algo insatisfecho
722,2242,miércoles,WOW,REYKJAVIK,eur,Small,Gates 91-102,2018-12-31,156.0,Algo limpio,Algo seguro,Neutral
723,2556,sábado,JETBLUE,LONG BEACH,oeste de EE. UU.,Small,Gates 1-12,2018-12-31,108.0,Algo limpio,Algo seguro,Neutral
724,853,martes,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,85.0000000000002,Algo limpio,Algo seguro,Muy satisfecho
725,3168,jueves,AMERICAN,DALLAS-FT. VALOR,Medio Oeste de EE. UU.,Hub,Gates 50-59,2018-12-31,110.0,Limpio,Algo seguro,Muy satisfecho
726,2234,jueves,SUDOESTE,SANTA ANA,oeste de EE. UU.,Medium,Gates 20-39,2018-12-31,60.0,Limpio,Muy seguro,Algo satisfecho
727,2765,Sunday,WOW,REYKJAVIK,eur,Small,Gates 1-12,2018-12-31,175.0,Algo limpio,Muy seguro,Algo satisfecho
728,3092,Domingo,COPA,CIUDAD DE PANAMÁ,Centroamérica / Sudamérica,Medium,Gates 1-12,2018-12-31,173.0,Promedio,Algo seguro,Neutral
729,285,jueves,UNITED,BALTIMORE,Este de EE. UU.,Medium,Gates 70-90,2018-12-31,164.0,Promedio,Algo seguro,Neutral
730,1480,martes,ALASKA,NUEVA YORK-JFK,este de EE. UU.,Hub,Gates 50-59,2018-12-31,130.0,Algo limpio,Algo seguro,Algo satisfecho
731,3175,jueves,AMERICAN,DALLAS-FT. VALOR,Medio Oeste de EE. UU.,Hub,Gates 50-59,2018-12-31,60.0,Limpio,Muy seguro,Algo satisfecho
732,2770,miércoles,UNITED,AUSTIN,Medio Oeste de EE. UU.,Medium,Gates 70-90,2018-12-31,90.0,Algo limpio,Muy seguro,Algo satisfecho
733,3033,martes,UNITED,PORTLAND,oeste de EE. UU.,Medium,Gates 70-90,2018-12-31,150.0,Algo limpio,Algo seguro,Algo satisfecho
734,1661,sábado,EMIRATES,DUBAI,Medio Oriente,Hub,Gates 1-12,2018-12-31,150.0,Promedio,Neutral,Muy satisfecho
735,2634,martes,JETBLUE,NUEVA YORK-JFK,este de EE. UU.,Hub,Gates 1-12,2018-12-31,60.0,Algo limpio,Algo seguro,Neutral
736,1987,viernes,AIR FRANCE / KLM,AMSTERDAM,Europa,Hub,Gates 1-12,2018-12-31,145.0,Promedio,Neutral,Neutral
737,1861,Domingo,ALASKA,KAHULUI,Oeste de EE. UU.,Small,Gates 50-59,2018-12-31,145.0,Algo limpio,Muy seguro,Algo satisfecho
738,1278,martes,UNITED INTL,LONDON HEATHROW,Europa,Hub,Gates 91-102,2018-12-31,320.0,Promedio,Algo seguro,Algo satisfecho
739,1841,lunes,TURKISH AIRLINES,ESTAMBUL,oriente medio,Hub,Gates 91-102,2018-12-31,300.0,Limpio,Muy seguro,Muy satisfecho
740,341,viernes,ALASKA,SAN DIEGO,oeste de EE. UU.,Medium,Gates 50-59,2018-12-31,98.0,Limpio,Algo seguro,Algo satisfecho
741,1978,martes,UNITED,BALTIMORE,Este de EE. UU.,Medium,Gates 60-69,2018-12-31,155.0,Limpio,Algo seguro,Muy satisfecho
743,319,miércoles,SUDOESTE,LOS ÁNGELES,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,59.99999999999989,Limpio,Neutral,Muy satisfecho
744,1636,jueves,KOREAN AIR,SEUL,Asia,Hub,Gates 1-12,2018-12-31,195.0,Limpio,Muy seguro,Algo satisfecho
745,3292,miércoles,SUDOESTE,DENVER,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,145.0,Limpio,Muy seguro,Muy satisfecho
746,3203,martes,UNITED,ONTARIO (CALIF),Oeste de EE. UU.,   Small,Gates 70-90,2018-12-31,245.0,Limpio,Muy seguro,Muy satisfecho
747,1898,Lunes,LUFTHANSA,MUNICH,eur,Hub,Gates 91-102,2018-12-31,235.0,Algo sucio,Neutral,Neutral
748,633,martes,ALASKA,WASHINGTON DC-DULLES,Este de EE. UU.,Medium,Gates 50-59,2018-12-31,95.0,Algo limpio,Algo seguro,Neutral
749,1385,martes,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,2018-12-31,235.0,Limpio,Muy seguro,Muy satisfecho
751,2069,jueves,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,2018-12-31,177.0,Limpio,Algo seguro,Algo satisfecho
752,299,miércoles,SUDOESTE,LOS ÁNGELES,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,130.0,Promedio,Neutral,Neutral
753,2730,viernes,UNITED,KAHULUI,oeste de EE. UU.,Small,Gates 60-69,2018-12-31,122.0,Algo limpio,Muy seguro,Algo satisfecho
754,1676,sábado,AIR FRANCE / KLM,PARIS-DE GAULLE,Europa,Hub,Gates 1-12,2018-12-31,185.0,Algo limpio,Muy seguro,Algo satisfecho
755,3282,miércoles,SUDOESTE,DENVER,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,80.0,Algo limpio,Muy seguro,Algo satisfecho
756,2112,martes,AMERICAN,PHOENIX,oeste de EE. UU.,  Hub ,Gates 50-59,2018-12-31,121.0,Algo limpio,Muy seguro,Muy satisfecho
757,1986,viernes,AIR FRANCE / KLM,AMSTERDAM,Europa,Hub,Gates 1-12,2018-12-31,145.0,Promedio,Algo seguro,Algo satisfecho
758,2595,martes,JETBLUE,BOSTON,este de EE. UU.,Grande,Gates 1-12,2018-12-31,147.0,Algo limpio,Algo seguro,Algo satisfecho
759,814,Domingo,ALASKA,BALTIMORE,Este de EE. UU.,Medium,Gates 50-59,2018-12-31,185.0,Limpio,Muy seguro,Muy satisfecho
760,2551,sábado,JETBLUE,BOSTON,este de EE. UU.,Grande,Gates 1-12,2018-12-31,135.0,Promedio,Muy seguro,Neutral
761,1965,viernes,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,185.0,Algo limpio,Algo seguro,Algo satisfecho
762,2640,martes,JETBLUE,NUEVA YORK-JFK,ESTE de EE. UU.,Hub,Gates 1-12,2018-12-31,113.0,Promedio,Algo seguro,Muy insatisfecho
763,395,viernes,ALASKA,LOS ÁNGELES,oeste de EE. UU.,  Hub ,Gates 50-59,2018-12-31,205.0,Algo limpio,Muy seguro,Algo satisfecho
764,728,miércoles,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,185.0,Limpio,Muy seguro,Muy satisfecho
765,1215,martes,SUDOESTE,LAS VEGAS,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,,Limpio,Algo seguro,Algo satisfecho
766,2314,martes,UNITED,SAN ANTONIO,Midwest US,Medium,Gates 70-90,2018-12-31,150.0,Limpio,Algo seguro,Algo satisfecho
767,1718,domingo,AIR FRANCE / KLM,PARIS-DE GAULLE,eur,Hub,Gates 1-12,2018-12-31,210.0,Promedio,Algo seguro,Neutral
768,2383,miércoles,UNITED INTL,SYDNEY,Australia / Nueva Zelanda,Hub,Gates 91-102,2018-12-31,215.0,Limpio,Muy seguro,Algo satisfecho
769,584,jueves,JETBLUE,BOSTON,este de EE. UU.,Grande,Gates 1-12,2018-12-31,95.0,Limpio,Neutral,Algo satisfecho
770,1770,jueves,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,2018-12-31,85.0,Limpio,Muy seguro,Algo satisfecho
771,642,martes,ALASKA,WASHINGTON DC-DULLES,este de EE. UU.,Medium,Gates 50-59,2018-12-31,125.0,Algo limpio,Neutral,Neutral
772,1865,Domingo,ALASKA,KAHULUI,Oeste de EE. UU.,Small,Gates 50-59,2018-12-31,505.0,Limpio,Algo seguro,Algo satisfecho
773,2100,viernes,JETBLUE,LONG BEACH,oeste de EE. UU.,Small,Gates 1-12,2018-12-31,49.0,Algo limpio,Muy seguro,Algo satisfecho
774,2647,sábado,JETBLUE,BOSTON,este de EE. UU.,Grande,Gates 1-12,2018-12-31,132.0,Algo limpio,Neutral,Neutral
775,1982,viernes,AIR FRANCE / KLM,AMSTERDAM,eur,Hub,Gates 1-12,2018-12-31,265.0,Promedio,Algo seguro,Neutral
776,1973,viernes,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,125.0,Limpio,Muy seguro,Muy satisfecho
777,310,martes,UNITED,WASHINGTON DC-DULLES,Este de EE. UU.,Medium,Gates 70-90,2018-12-31,95.0000000000001,Limpio,Muy seguro,Algo satisfecho
778,2386,miércoles,UNITED INTL,SYDNEY,Australia / Nueva Zelanda,Hub,Gates 91-102,2018-12-31,215.0,Algo limpio,Muy seguro,Muy satisfecho
779,295,miércoles,SUDOESTE,LOS ÁNGELES,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,190.0,Promedio,Neutral,Neutral
780,2301,miércoles,QANTAS,SYDNEY,Australia / Nueva Zelanda,Hub,Gates 1-12,2018-12-31,175.0,Algo limpio,Algo seguro,Algo satisfecho
781,1253,jueves,ESTE DE CHINA,SHANGHAI,Asia,Hub,Gates 1-12,2018-12-31,195.0,Algo limpio,Algo seguro,Muy satisfecho
782,1649,sábado,VIRGIN ATLANTIC,LONDON HEATHROW,Europa,Hub,Gates 1-12,2018-12-31,170.0,Algo limpio,Muy seguro,Algo satisfecho
783,3279,miércoles,SUDOESTE,DENVER,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,125.0,Algo limpio,Neutral,Algo satisfecho
784,863,martes,ALASKA,SEATTLE,oeste de EE. UU.,  Hub ,Gates 50-59,2018-12-31,65.0000000000001,Algo limpio,Muy seguro,Neutral
785,2771,jueves,DELTA,ATLANTA,este de EE. UU.,Hub,Gates 40-48,2018-12-31,150.0,Algo limpio,Muy seguro,Algo satisfecho
786,1547,miércoles,AIR CHINA,BEIJING,Asia,Hub,Gates 91-102,2018-12-31,240.0,Limpio,Algo seguro,Algo satisfecho
787,750,jueves,AIR CANADA,TORONTO,Canadá / México,Hub,Gates 91-102,2018-12-31,235.0,Algo limpio,Algo seguro,Algo satisfecho
788,2285,miércoles,QANTAS,SYDNEY,Australia / Nueva Zelanda,Hub,Gates 1-12,2018-12-31,225.0,Algo limpio,Algo seguro,Neutral
789,3214,martes,UNITED,SANTA BARBARA,West US,   Small,Gates 70-90,2018-12-31,75.0000000000001,Algo limpio,Algo seguro,Neutral
790,2172,miércoles,FRONTIER,DENVER,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,153.0,Limpio,Algo seguro,Algo satisfecho
791,576,jueves,JETBLUE,BOSTON,EAST US,Large,Gates 1-12,2018-12-31,112.0,Algo limpio,Algo seguro,Muy satisfecho
792,404,sábado,UNITED,PHOENIX,oeste de EE. UU.,  Hub ,Gates 70-90,2018-12-31,84.9999999999999,Limpio,Algo seguro,Algo satisfecho
794,2254,miércoles,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,2018-12-31,185.0,Limpio,Muy seguro,Muy satisfecho
795,682,jueves,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,125.0,Algo limpio,Algo seguro,Neutral
796,2028,miércoles,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,95.0,Algo limpio,Algo seguro,Muy satisfecho
798,854,martes,ALASKA,PORTLAND,oeste de EE. UU.,Medium,Gates 50-59,2018-12-31,109.0,Algo limpio,Muy seguro,Muy satisfecho
799,1675,sábado,AIR FRANCE / KLM,PARIS-DE GAULLE,Europa,Hub,Gates 1-12,2018-12-31,85.0,Algo limpio,Muy seguro,Algo satisfecho
800,1604,jueves,VIRGIN ATLANTIC,LONDON HEATHROW,Europa,Hub,Gates 1-12,2018-12-31,320.0,Algo limpio,Algo seguro,Algo satisfecho
801,534,jueves,EMIRATES,DUBAI,Medio Oriente,Hub,Gates 1-12,2018-12-31,225.0,Limpio,Muy seguro,Algo satisfecho
802,2829,martes,UNITED,BURBANK,Oeste de EE. UU.,   Small,Gates 70-90,2018-12-31,93.0,Algo limpio,Muy seguro,Algo satisfecho
803,1822,lunes,UNITED INTL,LONDON HEATHROW,Europa,Hub,Gates 91-102,2018-12-31,215.0,Limpio,Muy seguro,Algo satisfecho
805,1948,martes,UNITED,BOSTON,Este de EE. UU.,Grande,Gates 70-90,2018-12-31,115.0,Algo limpio,Neutral,Neutral
806,2950,​​martes,SUDOESTE,SAN DIEGO,oeste de EE. UU.,Medium,Gates 20-39,2018-12-31,115.0,Promedio,Algo seguro,Neutral
807,2508,sábado,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,100.0,Algo limpio,Muy seguro,Algo satisfecho
808,292,miércoles,SUDOESTE,LOS ÁNGELES,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,190.0,Promedio,Neutral,Algo satisfecho
809,876,martes,AMERICAN,DALLAS-FT. VALOR,Medio Oeste de EE. UU.,Hub,Gates 50-59,2018-12-31,265.0,Limpio,Algo seguro,Muy satisfecho
810,2120,viernes,JETBLUE,LONG BEACH,oeste de EE. UU.,Small,Gates 1-12,2018-12-31,79.0,Algo limpio,Algo seguro,Algo satisfecho
811,2764,jueves,DELTA,ATLANTA,EAST US,Hub,Gates 40-48,2018-12-31,150.0,Algo limpio,Algo seguro,Algo satisfecho
812,787,miércoles,AMERICAN,LOS ANGELES,oeste de EE. UU.,  Hub ,Gates 50-59,2018-12-31,850.0,Algo limpio,Muy seguro,Neutral
813,2883,viernes,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,2018-12-31,180.0,Algo limpio,Muy seguro,Algo satisfecho
814,421,Sunday,UNITED,HONOLULU,West US,Medium,Gates 70-90,2018-12-31,105.0,Algo limpio,Muy seguro,Muy satisfecho
