prestamo_id,fecha_prestamo,carrera,facultad,libro,autor,editorial,categoria,dias_prestamo,estatus,biblioteca,ciudad,observaciones,capturista
PB-00601,2026-06-08,INGENIERIA EN COMPUTACION,FES Aragón,Estadística Básica,Stewart,McGraw Hill, computación ,5,devuelto ,biblioteca central ,ciudad de mexico ,sin observación,temporal
PB-00121,2026-03-11,Ing. en Computación,FES Aragón,Cálculo I,Stewart,McGraw Hill,Ciencias Sociales,5,Vencido,biblioteca central ,Ciudad de México,,cap02
PB-00576,2026-05-22,Derecho, ciudad universitaria ,Estadística Básica,Stewart,Pearson, computación ,,EN PRESTAMO,Biblioteca Central,Nezahualcóyotl,,admin
PB-00550,2026-04-24,MATEMATICAS, fes aragón ,Minería de Datos,Witten,Pearson,Computación,7,En préstamo,BIBLIOTECA CENTRAL,ciudad de mexico ,,admin
PB-00259,2026-03-06,COMUNICACION Y PERIODISMO,FES ARAGON,Minería de Datos,Stewart,Pearson, ciencias sociales ,25,devuelto ,biblioteca central ,ciudad de mexico ,libro dañado,cap02
PB-00220,2026-05-01,Derecho, fes aragón ,Álgebra Lineal,Witten,UNAM, computación ,20,En préstamo,biblioteca central ,NEZAHUALCOYOTL,revisar,cap02
PB-00347,2026-02-25,DERECHO,Ciudad Universitaria,Minería de Datos,Tanenbaum,Alfaomega,COMPUTACION,20,en préstamo , fes aragón ,nezahualcóyotl ,renovación,cap01
PB-00124,2026-03-03,comunicación , fes aragón ,Redes de Computadoras,Witten,Pearson, ciencias sociales ,3,en préstamo ,Biblioteca Central,ciudad de mexico ,sin observación,cap02
PB-00480,2026-02-14,COMUNICACION Y PERIODISMO, fes aragón ,Álgebra Lineal,Guido,, ciencias sociales ,7,VENCIDO, fes aragón ,Nezahualcóyotl,revisar,temporal
PB-00399,2026-04-07,INGENIERIA EN COMPUTACION,FES ARAGON,Cálculo I,Guido,Pearson, ciencias sociales ,,devuelto ,FES Aragón,nezahualcóyotl ,libro dañado,cap01
PB-00035,2026-06-11,Derecho,FES Aragón,Redes de Computadoras,Tanenbaum,McGraw Hill,MATEMATICAS,30,devuelto , fes aragón ,Ciudad de México,renovación,admin
PB-00569,2026-02-09,COMUNICACION Y PERIODISMO, ciudad universitaria ,Bases de Datos,Date,McGraw Hill,COMPUTACION,20,en préstamo , fes aragón ,Nezahualcóyotl,libro dañado,admin
PB-00485,2026-02-05,Matemáticas,CU,Redes de Computadoras,Mendenhall,McGraw Hill,MATEMATICAS,,Devuelto,BIBLIOTECA CENTRAL,NEZAHUALCOYOTL,,temporal
PB-00299,2026-02-26, matematicas ,CU,Álgebra Lineal,Stewart,, computación ,3,Vencido,Biblioteca Central,NEZAHUALCOYOTL,sin observación,temporal
PB-00368,2026-03-22,DERECHO,FES Aragón,Bases de Datos,Guido,Pearson,COMPUTACION,,en préstamo ,Biblioteca Central,Ciudad de México,revisar,cap02
PB-00260,2026-03-31,Ingeniería en Computación,FES Aragón,Bases de Datos,Date, pearson ,Computación,15,En préstamo,FES ARAGON,nezahualcóyotl ,,cap01
PB-00563,2026-05-22,derecho ,FES Aragón,Minería de Datos,Date,Alfaomega, ciencias sociales ,7,devuelto , fes aragón ,ciudad de mexico ,libro dañado,cap02
PB-00513,2026-04-17, ing. computacion ,FES ARAGON,Minería de Datos,Date,Mcgraw-Hill,Ciencias Sociales,15,Vencido,Biblioteca Central,NEZAHUALCOYOTL,sin observación,temporal
PB-00287,2026-03-29,derecho ,FES Aragón,Python para Todos,Stewart,Pearson,Matemáticas,20,, fes aragón ,NEZAHUALCOYOTL,renovación,admin
PB-00567,2026-03-11,Comunicación y Periodismo,FES Aragón,Minería de Datos,Tanenbaum,PEARSON,Computación,7,devuelto , fes aragón ,NEZAHUALCOYOTL,sin observación,admin
PB-00198,2026-05-28,MATEMATICAS,CU,Minería de Datos,Stewart,Pearson,MATEMATICAS,10,En préstamo,biblioteca central ,NEZAHUALCOYOTL,,temporal
PB-00296,2026-05-15,derecho , ciudad universitaria ,Álgebra Lineal,Witten,, computación ,7,devuelto ,biblioteca central ,NEZAHUALCOYOTL,sin observación,admin
PB-00118,2026-05-28,INGENIERIA EN COMPUTACION, ciudad universitaria ,Redes de Computadoras,Stewart, pearson ,MATEMATICAS,10,devuelto ,FES Aragón,CDMX,libro dañado,admin
PB-00578,2026-04-13,Derecho,CU,Estadística Básica,Mendenhall,UNAM, ciencias sociales ,20,Vencido, fes aragón ,ciudad de mexico ,sin observación,cap02
PB-00065,2026-04-28,COMUNICACION Y PERIODISMO, ciudad universitaria ,Redes de Computadoras,Tanenbaum,PEARSON,Matemáticas,30,devuelto ,Biblioteca Central,NEZAHUALCOYOTL,,cap01
PB-00337,2026-06-01, ing. computacion ,FES Aragón,Bases de Datos,Stewart,Alfaomega,Ciencias Sociales,25,Devuelto,biblioteca central ,CDMX,libro dañado,cap01
PB-00373,2026-05-11, ing. computacion ,FES Aragón,Estadística Básica,Tanenbaum,PEARSON, ciencias sociales ,15,en préstamo ,FES ARAGON,NEZAHUALCOYOTL,revisar,admin
PB-00092,2026-02-10,Derecho,CU,Minería de Datos,Grossman,UNAM, ciencias sociales ,15,En préstamo,FES Aragón,Ciudad de México,,admin
PB-00525,2026-05-03,COMUNICACION Y PERIODISMO,CU,Cálculo I,Stewart,,MATEMATICAS,3,Vencido,FES ARAGON,CDMX,sin observación,cap01
PB-00108,2026-05-01,Matemáticas,FES Aragón,Cálculo I,Tanenbaum, pearson ,MATEMATICAS,7,devuelto ,FES ARAGON,NEZAHUALCOYOTL,,admin
PB-00289,2026-05-09,Matemáticas,Ciudad Universitaria,Redes de Computadoras,Mendenhall,,Computación,,Devuelto,BIBLIOTECA CENTRAL,NEZAHUALCOYOTL,libro dañado,temporal
PB-00505,2026-05-18,Comunicación y Periodismo,FES ARAGON,Redes de Computadoras,Mendenhall,,Matemáticas,5,VENCIDO,FES Aragón,ciudad de mexico ,libro dañado,admin
PB-00387,2026-05-20,comunicación ,Ciudad Universitaria,Estadística Básica,Stewart,Alfaomega,COMPUTACION,5,En préstamo,BIBLIOTECA CENTRAL,NEZAHUALCOYOTL,renovación,temporal
PB-00283,2026-05-22, matematicas ,FES Aragón,Python para Todos,Date,PEARSON,Ciencias Sociales,10,Vencido,FES ARAGON,ciudad de mexico ,,admin
PB-00586,2026-06-04,INGENIERIA EN COMPUTACION, ciudad universitaria ,Estadística Básica,Witten,PEARSON,COMPUTACION,30,Vencido,FES Aragón,nezahualcóyotl ,revisar,admin
PB-00112,2026-03-16, matematicas ,Ciudad Universitaria,Python para Todos,Grossman,,COMPUTACION,15,devuelto ,BIBLIOTECA CENTRAL,NEZAHUALCOYOTL,libro dañado,admin
PB-00640,2026-02-23,Matemáticas,FES Aragón,Bases de Datos,Guido,Alfaomega,COMPUTACION,30,devuelto ,Biblioteca Central,ciudad de mexico ,sin observación,admin
PB-00358,2026-03-16,DERECHO, ciudad universitaria ,Redes de Computadoras,Grossman,Alfaomega,Matemáticas,20,En préstamo,FES ARAGON,Ciudad de México,revisar,cap02
PB-00518,2026-03-10,INGENIERIA EN COMPUTACION,CU,Álgebra Lineal,Witten,McGraw Hill,Matemáticas,10,EN PRESTAMO,biblioteca central ,Nezahualcóyotl,libro dañado,cap02
PB-00361,2026-03-22,comunicación ,CU,Minería de Datos,Mendenhall,Pearson,COMPUTACION,15,VENCIDO,FES Aragón,Nezahualcóyotl,,cap01
PB-00019,2026-03-24, ing. computacion ,Ciudad Universitaria,Redes de Computadoras,Tanenbaum,Pearson,COMPUTACION,3,Devuelto,FES Aragón,nezahualcóyotl ,revisar,admin
PB-00378,2026-03-06,Ingeniería en Computación,FES ARAGON,Bases de Datos,Date, pearson ,Ciencias Sociales,10,Devuelto,FES ARAGON,Ciudad de México,,temporal
PB-00091,2026-02-20,Matemáticas,CU,Python para Todos,Tanenbaum,Pearson,Computación,5,En préstamo,biblioteca central ,nezahualcóyotl ,revisar,cap02
PB-00036,2026-04-14,COMUNICACION Y PERIODISMO,FES Aragón,Estadística Básica,Stewart,Pearson, computación ,,VENCIDO,FES ARAGON,NEZAHUALCOYOTL,revisar,temporal
PB-00005,2026-03-15,Derecho, fes aragón ,Python para Todos,Tanenbaum,PEARSON,Matemáticas,20,En préstamo,FES Aragón,NEZAHUALCOYOTL,,cap01
PB-00545,2026-04-12,Ing. en Computación,FES ARAGON,Minería de Datos,Witten,UNAM,COMPUTACION,5,Devuelto, fes aragón ,CDMX,sin observación,temporal
PB-00607,2026-03-26,Matemáticas,FES ARAGON,Cálculo I,Tanenbaum,Alfaomega,Computación,,VENCIDO,FES Aragón,CDMX,,temporal
PB-00031,2026-02-14,Derecho,CU,Python para Todos,Tanenbaum,Mcgraw-Hill,MATEMATICAS,,devuelto ,Biblioteca Central,NEZAHUALCOYOTL,,cap02
PB-00434,2026-02-19,COMUNICACION Y PERIODISMO, ciudad universitaria ,Minería de Datos,Date,Alfaomega,COMPUTACION,3,en préstamo ,biblioteca central ,Nezahualcóyotl,renovación,admin
PB-00622,2026-04-02,Ing. en Computación, ciudad universitaria ,Cálculo I,Date, pearson ,Matemáticas,20,devuelto ,biblioteca central ,Nezahualcóyotl,sin observación,admin
PB-00109,2026-05-27,comunicación , fes aragón ,Estadística Básica,Witten,Pearson,MATEMATICAS,25,Devuelto,biblioteca central ,Ciudad de México,libro dañado,cap02
PB-00104,2026-03-09, matematicas , fes aragón ,Python para Todos,Tanenbaum,Mcgraw-Hill,Ciencias Sociales,,en préstamo ,biblioteca central ,Ciudad de México,revisar,temporal
PB-00111,2026-04-09,DERECHO,FES Aragón,Redes de Computadoras,Guido,, ciencias sociales ,5,Devuelto,FES Aragón,Nezahualcóyotl,libro dañado,cap02
PB-00279,2026-04-12,MATEMATICAS, ciudad universitaria ,Redes de Computadoras,Stewart,UNAM,COMPUTACION,,VENCIDO,FES Aragón,Ciudad de México,libro dañado,admin
PB-00027,2026-06-05,Ingeniería en Computación,FES ARAGON,Cálculo I,Stewart,UNAM,MATEMATICAS,3,en préstamo ,FES Aragón,Ciudad de México,,cap01
PB-00557,2026-02-28,Comunicación y Periodismo,CU,Cálculo I,Guido,UNAM,Computación,5,En préstamo,FES Aragón,Nezahualcóyotl,,admin
PB-00214,2026-04-29,Matemáticas, fes aragón ,Álgebra Lineal,Witten,Mcgraw-Hill,MATEMATICAS,20,devuelto ,FES Aragón,Nezahualcóyotl,sin observación,admin
PB-00324,2026-03-31,Ing. en Computación, ciudad universitaria ,Bases de Datos,Tanenbaum,Pearson,MATEMATICAS,10,devuelto ,BIBLIOTECA CENTRAL,Ciudad de México,,cap02
PB-00146,2026-02-18,Derecho, ciudad universitaria ,Redes de Computadoras,Tanenbaum,,Ciencias Sociales,,Vencido, fes aragón ,Nezahualcóyotl,sin observación,temporal
PB-00032,,MATEMATICAS,FES Aragón,Python para Todos,Guido,McGraw Hill,COMPUTACION,5,EN PRESTAMO,FES Aragón,nezahualcóyotl ,revisar,cap02
PB-00493,2026-02-03,MATEMATICAS, ciudad universitaria ,Estadística Básica,Guido,Pearson,MATEMATICAS,3,VENCIDO,FES ARAGON,nezahualcóyotl ,revisar,cap01
PB-00496,2026-04-23,derecho ,FES Aragón,Estadística Básica,Mendenhall,, ciencias sociales ,10,EN PRESTAMO, fes aragón ,Ciudad de México,libro dañado,cap01
PB-00322,2026-02-14,Comunicación y Periodismo, ciudad universitaria ,Minería de Datos,Guido,UNAM,Matemáticas,,Vencido,biblioteca central ,CDMX,libro dañado,cap01
PB-00190,2026-04-27,comunicación , ciudad universitaria ,Cálculo I,Tanenbaum,Alfaomega,Ciencias Sociales,5,en préstamo , fes aragón ,Nezahualcóyotl,,cap02
PB-00117,2026-06-01, ing. computacion ,FES Aragón,Redes de Computadoras,Grossman, pearson ,Matemáticas,,Vencido, fes aragón ,nezahualcóyotl ,revisar,cap01
PB-00246,2026-04-02,INGENIERIA EN COMPUTACION, ciudad universitaria ,Redes de Computadoras,Tanenbaum,UNAM,Matemáticas,10,devuelto ,FES ARAGON,ciudad de mexico ,libro dañado,admin
PB-00366,2026-02-14,Comunicación y Periodismo,FES ARAGON,Álgebra Lineal,Tanenbaum, pearson ,Ciencias Sociales,10,EN PRESTAMO,FES Aragón,CDMX,libro dañado,cap02
PB-00152,2026-06-11,Comunicación y Periodismo,FES Aragón,Bases de Datos,Stewart, pearson ,Matemáticas,,Devuelto, fes aragón ,nezahualcóyotl ,libro dañado,cap02
PB-00288,2026-04-14,Comunicación y Periodismo,FES ARAGON,Álgebra Lineal,Tanenbaum,UNAM,Ciencias Sociales,25,VENCIDO, fes aragón ,nezahualcóyotl ,sin observación,cap01
PB-00038,2026-02-21, matematicas , fes aragón ,Estadística Básica,Stewart,,Matemáticas,15,VENCIDO,BIBLIOTECA CENTRAL,nezahualcóyotl ,,cap02
PB-00210,2026-03-04,comunicación ,FES ARAGON,Python para Todos,Witten,,Computación,25,en préstamo ,BIBLIOTECA CENTRAL,ciudad de mexico ,renovación,temporal
PB-00174,2026-03-29, ing. computacion ,FES Aragón,Bases de Datos,Mendenhall,Pearson,Computación,10,En préstamo,biblioteca central ,Nezahualcóyotl,revisar,temporal
PB-00149,2026-04-02,Derecho,FES Aragón,Álgebra Lineal,Stewart,McGraw Hill,Matemáticas,30,Devuelto,biblioteca central ,ciudad de mexico ,revisar,admin
PB-00209,2026-04-04,Matemáticas,Ciudad Universitaria,Python para Todos,Date,McGraw Hill, computación ,25,Devuelto, fes aragón ,nezahualcóyotl ,revisar,temporal
PB-00571,2026-05-01,Comunicación y Periodismo,Ciudad Universitaria,Cálculo I,Date,PEARSON,COMPUTACION,7,Vencido,biblioteca central ,Nezahualcóyotl,revisar,cap02
PB-00162,2026-03-05, matematicas ,FES ARAGON,Python para Todos,Date,UNAM,MATEMATICAS,5,VENCIDO,biblioteca central ,NEZAHUALCOYOTL,renovación,admin
PB-00132,2026-02-17,MATEMATICAS,CU,Python para Todos,Date,PEARSON,MATEMATICAS,20,en préstamo , fes aragón ,nezahualcóyotl ,sin observación,cap01
PB-00302,2026-04-15,Ingeniería en Computación,Ciudad Universitaria,Redes de Computadoras,Date,Pearson, ciencias sociales ,,EN PRESTAMO,FES ARAGON,nezahualcóyotl ,libro dañado,cap02
PB-00623,2026-04-27,Matemáticas, fes aragón ,Cálculo I,Witten,Mcgraw-Hill,MATEMATICAS,20,en préstamo ,biblioteca central ,NEZAHUALCOYOTL,libro dañado,admin
PB-00427,2026-06-03,DERECHO,CU,Álgebra Lineal,Tanenbaum,,Matemáticas,7,En préstamo,Biblioteca Central,Ciudad de México,renovación,temporal
PB-00082,2026-05-26,Matemáticas,FES ARAGON,Redes de Computadoras,Guido, pearson ,COMPUTACION,7,EN PRESTAMO,FES Aragón,Ciudad de México,sin observación,cap01
PB-00632,2026-03-29,derecho , fes aragón ,Álgebra Lineal,Grossman,Pearson,Ciencias Sociales,10,Vencido,biblioteca central ,ciudad de mexico ,,admin
PB-00040,2026-04-14,Derecho,FES Aragón,Cálculo I,Mendenhall,Alfaomega,Ciencias Sociales,,VENCIDO,FES ARAGON,Nezahualcóyotl,renovación,cap02
PB-00091,2026-02-20,Matemáticas,CU,Python para Todos,Tanenbaum,Pearson,Computación,5,En préstamo,biblioteca central ,nezahualcóyotl ,revisar,cap02
PB-00313,2026-03-26,MATEMATICAS, fes aragón ,Redes de Computadoras,Date,,COMPUTACION,3,EN PRESTAMO, fes aragón ,Ciudad de México,sin observación,admin
PB-00076,2026-05-13,Ing. en Computación, ciudad universitaria ,Cálculo I,Date,Alfaomega,MATEMATICAS,,devuelto ,BIBLIOTECA CENTRAL,NEZAHUALCOYOTL,sin observación,temporal
PB-00286,2026-02-11,Ing. en Computación, fes aragón ,Redes de Computadoras,Guido,PEARSON,MATEMATICAS,15,devuelto ,FES ARAGON,ciudad de mexico ,,temporal
PB-00512,2026-05-09,comunicación ,CU,Álgebra Lineal,Stewart,Mcgraw-Hill,COMPUTACION,30,en préstamo ,FES ARAGON,nezahualcóyotl ,,cap01
PB-00135,2026-04-13,Derecho,FES ARAGON,Bases de Datos,Grossman,McGraw Hill,MATEMATICAS,30,EN PRESTAMO, fes aragón ,nezahualcóyotl ,revisar,cap01
PB-00564,2026-02-28,Derecho,FES ARAGON,Minería de Datos,Witten, pearson ,Ciencias Sociales,,,Biblioteca Central,Nezahualcóyotl,sin observación,cap01
PB-00349,2026-04-27,Ingeniería en Computación,Ciudad Universitaria,Minería de Datos,Date,, computación ,20,EN PRESTAMO,FES ARAGON,nezahualcóyotl ,sin observación,cap01
PB-00205,2026-03-18,Ingeniería en Computación, ciudad universitaria ,Python para Todos,Date,Alfaomega,Matemáticas,,En préstamo,Biblioteca Central,Ciudad de México,revisar,cap02
PB-00608,2026-05-13,DERECHO,FES Aragón,Álgebra Lineal,Date,Pearson, ciencias sociales ,15,devuelto ,BIBLIOTECA CENTRAL,NEZAHUALCOYOTL,renovación,cap02
PB-00197,2026-03-19,Ingeniería en Computación,FES ARAGON,Redes de Computadoras,Date,PEARSON, ciencias sociales ,7,Vencido,FES Aragón,nezahualcóyotl ,sin observación,temporal
PB-00188,2026-06-10, ing. computacion ,CU,Redes de Computadoras,Witten, pearson , computación ,15,EN PRESTAMO,biblioteca central ,Ciudad de México,sin observación,temporal
PB-00499,2026-05-14,DERECHO,CU,Python para Todos,Witten,,MATEMATICAS,,En préstamo, fes aragón ,CDMX,,cap01
PB-00107,2026-04-23, matematicas ,Ciudad Universitaria,Estadística Básica,Mendenhall,Pearson,Computación,7,En préstamo,FES Aragón,nezahualcóyotl ,libro dañado,cap01
PB-00006,2026-02-25,,FES ARAGON,Python para Todos,Stewart,McGraw Hill,Matemáticas,3,Devuelto,BIBLIOTECA CENTRAL,Nezahualcóyotl,renovación,admin
PB-00247,2026-04-06,Comunicación y Periodismo,Ciudad Universitaria,Bases de Datos,Grossman,Pearson,MATEMATICAS,7,devuelto ,biblioteca central ,nezahualcóyotl ,,cap02
PB-00570,2026-03-04,Derecho,FES Aragón,Bases de Datos,Grossman,PEARSON,Matemáticas,10,Devuelto,Biblioteca Central,ciudad de mexico ,sin observación,admin
PB-00503,2026-04-23,Derecho,Ciudad Universitaria,Redes de Computadoras,Guido,Mcgraw-Hill, computación ,5,Vencido,Biblioteca Central,Nezahualcóyotl,,cap02
PB-00246,2026-04-02,INGENIERIA EN COMPUTACION, ciudad universitaria ,Redes de Computadoras,Tanenbaum,UNAM,Matemáticas,10,devuelto ,FES ARAGON,ciudad de mexico ,libro dañado,admin
PB-00042,2026-03-01, matematicas ,FES Aragón,Redes de Computadoras,Mendenhall,,COMPUTACION,25,EN PRESTAMO, fes aragón ,ciudad de mexico ,revisar,admin
PB-00227,2026-05-14,Ingeniería en Computación,FES ARAGON,Álgebra Lineal,Guido,PEARSON, computación ,20,en préstamo ,biblioteca central ,NEZAHUALCOYOTL,sin observación,cap01
PB-00338,2026-02-13,COMUNICACION Y PERIODISMO, fes aragón ,Minería de Datos,Grossman,Mcgraw-Hill,Matemáticas,7,devuelto ,FES Aragón,nezahualcóyotl ,revisar,cap01
PB-00596,2026-03-07, ing. computacion ,Ciudad Universitaria,Minería de Datos,Stewart, pearson ,Computación,7,En préstamo,BIBLIOTECA CENTRAL,NEZAHUALCOYOTL,,cap01
PB-00257,2026-03-19,derecho ,CU,Minería de Datos,Stewart,PEARSON, ciencias sociales ,25,En préstamo, fes aragón ,CDMX,sin observación,cap01
PB-00369,2026-04-07,INGENIERIA EN COMPUTACION,Ciudad Universitaria,Álgebra Lineal,Stewart,McGraw Hill,Matemáticas,7,En préstamo,BIBLIOTECA CENTRAL,ciudad de mexico ,sin observación,temporal
PB-00450,2026-04-08, ing. computacion ,CU,Bases de Datos,Stewart,McGraw Hill,Computación,3,VENCIDO,Biblioteca Central,Nezahualcóyotl,libro dañado,admin
PB-00228,2026-05-29,Comunicación y Periodismo, fes aragón ,Redes de Computadoras,Tanenbaum,Mcgraw-Hill,Computación,,en préstamo ,FES ARAGON,ciudad de mexico ,sin observación,temporal
PB-00602,2026-02-24, matematicas , ciudad universitaria ,Estadística Básica,Guido,,COMPUTACION,3,EN PRESTAMO, fes aragón ,ciudad de mexico ,,admin
PB-00530,2026-02-02,comunicación , ciudad universitaria ,Bases de Datos,Date,, ciencias sociales ,30,En préstamo,Biblioteca Central,Ciudad de México,libro dañado,cap01
PB-00251,2026-06-09,Matemáticas,Ciudad Universitaria,Álgebra Lineal,Mendenhall, pearson ,MATEMATICAS,15,EN PRESTAMO,biblioteca central ,CDMX,,cap02
PB-00278,2026-04-25,Ing. en Computación,FES ARAGON,Python para Todos,Mendenhall,Pearson, computación ,15,,BIBLIOTECA CENTRAL,NEZAHUALCOYOTL,,cap01
PB-00265,2026-05-30,DERECHO,CU,Minería de Datos,Guido,, ciencias sociales ,20,devuelto ,biblioteca central ,CDMX,renovación,temporal
PB-00292,2026-03-31,INGENIERIA EN COMPUTACION, fes aragón ,Redes de Computadoras,Guido,Pearson,Ciencias Sociales,3,EN PRESTAMO,biblioteca central ,ciudad de mexico ,,temporal
PB-00125,2026-03-25,comunicación ,CU,Cálculo I,Stewart,Mcgraw-Hill,Ciencias Sociales,7,VENCIDO,biblioteca central ,CDMX,revisar,cap01
PB-00081,2026-02-17,DERECHO,Ciudad Universitaria,Redes de Computadoras,Tanenbaum,Mcgraw-Hill,Ciencias Sociales,25,Devuelto,BIBLIOTECA CENTRAL,NEZAHUALCOYOTL,,cap02
PB-00012,2026-03-15,Comunicación y Periodismo, fes aragón ,Redes de Computadoras,Witten,PEARSON,Computación,10,En préstamo, fes aragón ,NEZAHUALCOYOTL,,temporal
PB-00379,2026-06-11,comunicación ,FES ARAGON,Álgebra Lineal,Grossman, pearson , ciencias sociales ,7,En préstamo,BIBLIOTECA CENTRAL,Ciudad de México,renovación,cap01
PB-00077,2026-02-25,COMUNICACION Y PERIODISMO, fes aragón ,Álgebra Lineal,Guido,PEARSON,COMPUTACION,30,En préstamo,BIBLIOTECA CENTRAL,ciudad de mexico ,renovación,admin
PB-00474,2026-06-11,Ing. en Computación,CU,Bases de Datos,Tanenbaum,PEARSON,COMPUTACION,3,VENCIDO,BIBLIOTECA CENTRAL,ciudad de mexico ,revisar,admin
PB-00579,2026-03-23, matematicas ,FES ARAGON,Bases de Datos,Stewart,PEARSON,MATEMATICAS,10,En préstamo,biblioteca central ,Nezahualcóyotl,renovación,admin
PB-00406,2026-02-15,derecho ,FES Aragón,Estadística Básica,Guido,UNAM,Computación,,en préstamo ,FES Aragón,nezahualcóyotl ,sin observación,temporal
PB-00166,2026-04-10,COMUNICACION Y PERIODISMO,FES ARAGON,Bases de Datos,Mendenhall,Pearson,Computación,20,Devuelto,FES Aragón,Nezahualcóyotl,revisar,cap02
PB-00277,2026-03-09,derecho ,CU,Estadística Básica,Stewart,McGraw Hill, computación ,3,EN PRESTAMO,Biblioteca Central,Nezahualcóyotl,revisar,temporal
PB-00182,2026-02-12,Ing. en Computación,Ciudad Universitaria,Cálculo I,Witten,UNAM,Computación,7,en préstamo ,FES Aragón,CDMX,renovación,cap01
PB-00510,2026-05-25,derecho ,FES ARAGON,Minería de Datos,Grossman,Mcgraw-Hill, computación ,15,devuelto ,biblioteca central ,Ciudad de México,renovación,temporal
PB-00593,2026-03-17,Derecho, fes aragón ,Cálculo I,Stewart,McGraw Hill,Computación,15,devuelto ,biblioteca central ,Ciudad de México,libro dañado,admin
PB-00016,2026-03-26,Derecho,FES Aragón,Cálculo I,Date,PEARSON,Matemáticas,7,devuelto , fes aragón ,Nezahualcóyotl,libro dañado,cap02
PB-00343,2026-05-24,INGENIERIA EN COMPUTACION,Ciudad Universitaria,Bases de Datos,Grossman,Alfaomega,MATEMATICAS,3,en préstamo ,FES Aragón,Ciudad de México,sin observación,temporal
PB-00568,2026-02-03, matematicas ,FES Aragón,Estadística Básica,Witten,McGraw Hill,Ciencias Sociales,,devuelto ,biblioteca central ,NEZAHUALCOYOTL,revisar,admin
PB-00531,2026-05-14,DERECHO, ciudad universitaria ,Álgebra Lineal,Witten,Mcgraw-Hill,COMPUTACION,25,Vencido,biblioteca central ,ciudad de mexico ,sin observación,temporal
PB-00138,2026-03-08,derecho ,FES Aragón,Redes de Computadoras,Tanenbaum,Alfaomega,Computación,7,Devuelto,Biblioteca Central,ciudad de mexico ,renovación,cap02
PB-00160,2026-06-04, matematicas ,CU,Minería de Datos,Date,UNAM,Computación,7,EN PRESTAMO,biblioteca central ,CDMX,,admin
PB-00115,2026-06-06,DERECHO,FES Aragón,Estadística Básica,Guido, pearson , ciencias sociales ,15,devuelto ,FES Aragón,Ciudad de México,sin observación,cap02
PB-00060,2026-02-04,MATEMATICAS, fes aragón ,Bases de Datos,Guido,UNAM,COMPUTACION,20,en préstamo , fes aragón ,NEZAHUALCOYOTL,renovación,admin
PB-00342,2026-03-13, ing. computacion ,FES Aragón,Estadística Básica,Stewart,Pearson,Matemáticas,10,EN PRESTAMO, fes aragón ,Nezahualcóyotl,revisar,cap01
PB-00452,2026-02-24,DERECHO,CU,Estadística Básica,Mendenhall,McGraw Hill, ciencias sociales ,30,Devuelto,Biblioteca Central,Nezahualcóyotl,renovación,cap01
PB-00414,2026-05-13,Matemáticas,FES Aragón,Cálculo I,Tanenbaum,Pearson,Computación,20,EN PRESTAMO,BIBLIOTECA CENTRAL,ciudad de mexico ,renovación,cap02
PB-00465,2026-03-23,derecho , ciudad universitaria ,Álgebra Lineal,Stewart, pearson , computación ,7,devuelto ,Biblioteca Central,Ciudad de México,revisar,cap01
PB-00626,2026-06-07,DERECHO, fes aragón ,Bases de Datos,Witten,Alfaomega,Computación,15,en préstamo ,FES Aragón,NEZAHUALCOYOTL,revisar,cap01
PB-00460,2026-04-09,Ing. en Computación,CU,Python para Todos,Witten,Alfaomega,Computación,5,EN PRESTAMO,BIBLIOTECA CENTRAL,Nezahualcóyotl,libro dañado,cap02
PB-00350,2026-04-17,Ingeniería en Computación,CU,Python para Todos,Tanenbaum,McGraw Hill, computación ,30,,biblioteca central ,Nezahualcóyotl,libro dañado,cap01
PB-00519,2026-02-02,MATEMATICAS, ciudad universitaria ,Bases de Datos,Stewart,Mcgraw-Hill,MATEMATICAS,20,Vencido,BIBLIOTECA CENTRAL,Ciudad de México,sin observación,temporal
PB-00613,2026-05-31,derecho ,FES ARAGON,Minería de Datos,Stewart,Pearson,COMPUTACION,30,En préstamo,biblioteca central ,NEZAHUALCOYOTL,libro dañado,cap02
PB-00393,2026-04-19,DERECHO,FES Aragón,Estadística Básica,Stewart,PEARSON,MATEMATICAS,7,VENCIDO,biblioteca central ,CDMX,sin observación,cap02
PB-00216,2026-04-12,COMUNICACION Y PERIODISMO,CU,Redes de Computadoras,Grossman,Alfaomega, computación ,10,Vencido,BIBLIOTECA CENTRAL,ciudad de mexico ,revisar,admin
PB-00401,2026-04-06, matematicas ,FES Aragón,Bases de Datos,Tanenbaum,UNAM,COMPUTACION,10,devuelto ,Biblioteca Central,Nezahualcóyotl,renovación,temporal
PB-00328,2026-04-26,comunicación ,CU,Python para Todos,Grossman,UNAM, computación ,10,VENCIDO, fes aragón ,Ciudad de México,sin observación,cap01
PB-00151,2026-03-02, matematicas ,FES Aragón,Python para Todos,Guido, pearson ,COMPUTACION,,en préstamo , fes aragón ,nezahualcóyotl ,revisar,temporal
PB-00577,2026-05-01,derecho ,FES ARAGON,Python para Todos,Stewart,McGraw Hill,Matemáticas,7,Vencido,BIBLIOTECA CENTRAL,Nezahualcóyotl,revisar,temporal
PB-00022,2026-03-25,COMUNICACION Y PERIODISMO,FES Aragón,Estadística Básica,Grossman,PEARSON, computación ,25,EN PRESTAMO,biblioteca central ,CDMX,,cap02
